Metro,Population,Transit,Walk,Bike,No Car,Index,Rank
"Sumter, SC Metro Area",107379,0.3,2,0.1,2.7,0.354712041884817,301
"Dallas-Fort Worth-Arlington, TX Metro Area",7104415,1.5,1.3,0.2,1.9,0.354057591623037,302
"Coeur d'Alene, ID Metro Area",150128,0.3,2,0.6,1.5,0.353403141361257,303
"Chambersburg-Waynesboro, PA Metro Area",153003,0.2,2.3,0.2,2.3,0.352748691099476,304
"Kennewick-Richland, WA Metro Area",279653,0.9,1.4,0.3,1.9,0.352094240837696,305
"Greeley, CO Metro Area",285729,0.6,2.1,0.3,1.5,0.352094240837696,305
"Florence, SC Metro Area",206109,0.3,1.2,0.2,3.1,0.351439790575916,307
"Rocky Mount, NC Metro Area",148157,0.5,1.6,0,3,0.350130890052356,308
"Farmington, NM Metro Area",128221,0.4,1.7,0.3,2.1,0.347513089005236,309
"Winston-Salem, NC Metro Area",658195,0.7,1.4,0.1,2.6,0.346204188481675,310
"Sioux Falls, SD Metro Area",250564,0.7,2,0.3,1.3,0.346204188481675,310
"Pine Bluff, AR Metro Area",93590,0.2,1.8,0,3.6,0.344895287958115,312
"Jonesboro, AR Metro Area",128344,0.2,2.1,0.1,2.7,0.344895287958115,312
"Cheyenne, WY Metro Area",97031,0.6,2.6,0.2,1.5,0.342931937172775,314
"Lake Charles, LA Metro Area",205559,0.3,1.4,0.4,2.2,0.340968586387435,315
"Kansas City, MO-KS Metro Area",2088830,1,1.3,0.2,2.1,0.338350785340314,316
"Goldsboro, NC Metro Area",124496,0.4,1.6,0.1,2.7,0.334424083769634,317
"Crestview-Fort Walton Beach-Destin, FL Metro Area",261048,0.3,1.7,0.4,1.9,0.330497382198953,318
"Asheville, NC Metro Area",445625,0.5,2,0.3,1.5,0.329188481675393,319
"Hot Springs, AR Metro Area",97994,0.4,1.7,0.2,2.2,0.328534031413613,320
"Ocala, FL Metro Area",343778,0.4,1.6,0.2,2.3,0.327225130890052,321
"Little Rock-North Little Rock-Conway, AR Metro Area",730346,0.6,1.3,0.2,2.3,0.325916230366492,322
"Jackson, TN Metro Area",129538,0.7,1.1,0.1,2.6,0.321335078534031,323
"Amarillo, TX Metro Area",261827,0.6,1.5,0.3,1.9,0.321335078534031,323
"Laredo, TX Metro Area",269624,1.1,1.7,0.1,1.8,0.320026178010471,325
"Staunton-Waynesboro, VA Metro Area",120283,0.5,1.8,0.2,2,0.318062827225131,326
"Dalton, GA Metro Area",143407,0.1,1.2,0.3,2.6,0.30955497382199,327
