CD,Very low density,Low density,Medium density,High density,Incumbent,Party,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538
CA-12,4.7131386131311166e-4,0.011569472349196067,0.01553985272816612,0.9724193610613246,Nancy Pelosi,D,0.862,0.087,0.841,0.125,0.84,0.13,0,0.808732606353938,0.191267393646062,-37,Solid D,-3,0,1,0
CA-13,0.0021369375272242796,0.04582269953316966,0.10642343442170311,0.8456169285179028,Barbara Lee,D,0.8740000000000001,0.068,0.875,0.09,0.87,0.1,0.0921544517779547,0.907845548222045,0,-40,Solid D,-3,0,0.9999,0
CA-14,0.023704436767637414,0.09624249632343608,0.2159872102665581,0.6640658566423684,Jackie Speier,D,0.769,0.182,0.742,0.23600000000000002,0.73,0.24,0,0.808631265120598,0.191368734879402,-27,Solid D,-3,0,1,0
CA-15,0.05213472048832941,0.14741503937347877,0.2868997221868143,0.5135505179513775,Eric Swalwell,D,0.6990000000000001,0.242,0.68,0.298,0.67,0.3,0.262332046791012,0.737667953208988,0,-20,Solid D,-3,0,1,0
CA-16,0.16602181044518738,0.2364003169150327,0.36647254202845003,0.23110533061132987,Jim Costa,D,0.58,0.364,0.586,0.39399999999999996,0.57,0.4,0.419651575412608,0.580348424587392,0,-9,Likely D,-2,1,0.9806,0
CA-17,0.008294134498195016,0.06444121069632813,0.1610980867395962,0.7661665680658807,Ro Khanna,D,0.7390000000000001,0.205,0.7190000000000001,0.255,0.69,0.28,0,1,0,-25,Solid D,-3,0,1,0
CA-18,0.043208435570510774,0.15193120404228008,0.2505482490690574,0.5543121113181517,Anna Eshoo,D,0.7340000000000001,0.20199999999999999,0.682,0.289,0.7,0.27,0.28854999536937,0.71145000463063,0,-23,Solid D,-3,0,1,0
CA-19,0.02407847170493209,0.10306818664638909,0.1991406173348411,0.6737127243138377,Zoe Lofgren,D,0.7290000000000001,0.215,0.7120000000000001,0.265,0.68,0.29,0.260555675315114,0.739444324684886,0,-24,Solid D,-3,0,1,0
CA-20,0.20174811478617533,0.1710493173231757,0.23857978334090396,0.388622784549745,Jimmy Panetta,D,0.7040000000000001,0.23199999999999998,0.7090000000000001,0.262,0.71,0.26,0.292469242467483,0.707530757532517,0,-23,Solid D,-3,0,0.9994,0
CA-21,0.33002771981753537,0.3045609544011867,0.27654095116535976,0.0888703746159181,David Valadao,R,0.552,0.397,0.546,0.435,0.52,0.46,0.567382635490303,0.432617364509697,0,-5,Likely R,2,1,0.1883,0
CA-22,0.14205943404812035,0.21039611371911376,0.5025085431352205,0.14503590909754538,Devin Nunes,R,0.426,0.521,0.41600000000000004,0.5660000000000001,0.42,0.55,0.675650945243142,0.324349054756858,0,8,Solid R,3,0,0.0256,0
CA-23,0.20015224275832033,0.22696336650705692,0.45071697102985364,0.12216741970476906,Kevin McCarthy,R,0.361,0.581,0.361,0.615,0.36,0.61,0.69175110934499,0.30824889065501,0,14,Solid R,3,0,7e-4,0
CA-24,0.17621341772482044,0.27746398072189815,0.2932103198417158,0.2531122817115657,Salud Carbajal,D,0.5670000000000001,0.365,0.541,0.431,0.56,0.41,0.465809133436718,0.534190866563282,0,-7,Solid D,-3,0,0.9779,0
CA-25,0.12237368913921207,0.2181906401770612,0.4892692890931322,0.17016638159059452,Stephen Knight,R,0.503,0.436,0.479,0.49700000000000005,0.49,0.48,0.531300615329241,0.468699384670759,0,0,Tossup,0,1,0.6701,1
CA-26,0.10699207980574965,0.23494800388896106,0.32714599249018533,0.3309139238151039,Julia Brownley,D,0.579,0.36,0.54,0.43700000000000006,0.56,0.41,0.396204875368792,0.603795124631208,0,-7,Solid D,-3,0,0.9995,0
CA-27,0.0012987608430483403,0.04627385790013352,0.3173938980033673,0.6350334832534509,Judy Chu,D,0.66,0.284,0.626,0.35,0.61,0.35,0.325796386734336,0.674203613265664,0,-16,Solid D,-3,0,1,0
CA-28,7.554918242003088e-4,0.07884417071179028,0.1355795754042573,0.7848207620597522,Adam Schiff,D,0.721,0.223,0.703,0.265,0.7,0.26,0.220133205625552,0.779866794374448,0,-23,Solid D,-3,0,1,0
CA-29,2.0589138055559044e-4,0.025957619076083144,0.1933435916458098,0.7804928978975514,Tony Cárdenas,D,0.777,0.168,0.77,0.205,0.74,0.23,0,1,0,-29,Solid D,-3,0,1,0
CA-30,0.007387578362819949,0.06446325991652377,0.24945073559796382,0.6786984261226925,Brad Sherman,D,0.691,0.257,0.653,0.321,0.66,0.31,0.273616084698023,0.726383915301977,0,-18,Solid D,-3,0,1,0
CA-31,0.00796308381810921,0.1639446410902472,0.556035078822492,0.2720571962691515,Pete Aguilar,D,0.5770000000000001,0.366,0.5720000000000001,0.406,0.56,0.41,0.439324614700652,0.560675385299348,0,-8,Solid D,-3,0,0.9978,0
CA-32,0.0019790191886099938,0.06786804916348951,0.30934159070372896,0.6208113409441715,Grace Napolitano,D,0.6659999999999999,0.27699999999999997,0.652,0.325,0.62,0.35,0,1,0,-17,Solid D,-3,0,1,0
CA-33,0.027981687727045526,0.13909620622248428,0.16753416190687578,0.6653879441435944,Ted Lieu,D,0.6779999999999999,0.265,0.606,0.368,0.64,0.33,0.335601525048528,0.664398474951472,0,-16,Solid D,-3,0,1,0
